"","id","type","pollster","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Biden","Trump"
"1","6849","rcp_average","rcp_average","1/5 - 2/20","","","","",Biden,Democrat,+1.0,,NA,NA,NA,NA,NA,"Biden","Democrat","+1.0","",45.5,44.5
"2","126660","poll_rcp_avg","Univ. of Wis/State Journal","2/11 - 2/20","","936 RV","4.0","",Biden,Democrat,+2.0,,2020-02-23 12:10:28,"https://news.wisc.edu/battleground-state-poll-1/",2020-02-11,2020-02-20,"1","Biden","Democrat","+2.0","",45.0,43.0
"3","126630","poll_rcp_avg","Quinnipiac","2/12 - 2/18","","823 RV","3.4","",Trump,Republican,+7.0,,2020-02-20 12:28:22,"https://poll.qu.edu/2020-presidential-swing-state-polls/release-detail?ReleaseID=3656",2020-02-12,2020-02-18,"1","Trump","Republican","+7.0","",42.0,49.0
"4","126013","poll_rcp_avg","Marquette","1/8 - 1/12","","800 RV","4.1","",Biden,Democrat,+4.0,,2020-01-15 14:37:10,"https://law.marquette.edu/poll/wp-content/uploads/2020/01/MLSP57Toplines.pdf",2020-01-08,2020-01-12,"1","Biden","Democrat","+4.0","",49.0,45.0
"5","125888","poll_rcp_avg","FOX News","1/5 - 1/8","","1504 RV","2.5","",Biden,Democrat,+5.0,,2020-01-09 19:09:55,"https://www.foxnews.com/politics/fox-news-poll-races-tighten-between-trump-and-democrats-in-wisconsin",2020-01-05,2020-01-08,"1","Biden","Democrat","+5.0","",46.0,41.0
"6","125464","poll","Marquette","12/3 - 12/8","","800 RV","4.1","",Biden,Democrat,+1.0,,2019-12-12 16:16:08,"https://law.marquette.edu/poll/wp-content/uploads/2019/12/MLSP56Toplines.pdf",2019-12-03,2019-12-08,"1","Biden","Democrat","+1.0","",47.0,46.0
"7","125063","poll","Marquette","11/13 - 11/17","","801 RV","4.1","",Trump,Republican,+3.0,,2019-11-20 15:18:07,"https://law.marquette.edu/poll/wp-content/uploads/2019/11/MLSP55Toplines.pdf",2019-11-13,2019-11-17,"1","Trump","Republican","+3.0","",44.0,47.0
"8","124744","poll","NY Times/Siena","10/13 - 10/26","","651 LV","4.4","",Biden,Democrat,+2.0,,2019-11-04 11:29:11,"https://github.com/ndcohn/battleground-poll-2019/blob/master/WI110419%20Crosstabs.pdf",2019-10-13,2019-10-26,"1","Biden","Democrat","+2.0","",46.0,44.0
"9","124525","poll","Marquette","10/13 - 10/17","","799 RV","4.2","",Biden,Democrat,+6.0,,2019-10-23 22:50:45,"https://law.marquette.edu/poll/2019/10/23/new-marquette-law-school-poll-finds-increased-support-for-trump-impeachment-hearings-since-the-spring-while-opinions-about-trump-have-changed-little/",2019-10-13,2019-10-17,"1","Biden","Democrat","+6.0","",50.0,44.0
"10","123984","poll","FOX News","9/29 - 10/2","","1512 RV","2.5","",Biden,Democrat,+9.0,,2019-10-06 11:07:00,"https://www.foxnews.com/politics/fox-news-poll-results-september-29-october-2-2019-wisconsin",2019-09-29,2019-10-02,"1","Biden","Democrat","+9.0","",48.0,39.0
"11","123489","poll","Marquette","8/25 - 8/29","","800 RV","3.9","",Biden,Democrat,+9.0,,2019-09-04 17:10:42,"https://law.marquette.edu/poll/wp-content/uploads/2019/09/MLSP53Toplines.pdf",2019-08-25,2019-08-29,"1","Biden","Democrat","+9.0","",51.0,42.0
"12","121141","poll","Emerson","3/15 - 3/17","","775 RV","3.5","",Biden,Democrat,+8.0,,2019-03-17 19:16:47,"https://emersonpolling.reportablenews.com/pr/wisconsin-2020-bernie-sanders-leads-democratic-field-trump-competitive-in-general-election",2019-03-15,2019-03-17,"1","Biden","Democrat","+8.0","",54.0,46.0
"13","122341","poll","WPAi (R)*","4/27 - 4/30","","200 LV","6.9","",Trump,Republican,+4.0,,2019-06-14 12:00:25,"https://www.washingtonexaminer.com/news/campaigns/gop-poll-reassuring-for-trump-in-key-states-but-offers-warning-about-michigan",2019-04-27,2019-04-30,"1","Trump","Republican","+4.0","",42.0,46.0
